Compartment,Datetime,Depth,Moisture_m3_m3,Temp_C,Remove
EBSW,10/03/2014  6:00:00 PM,Depth1,-0.0162,,
EBSW,10/03/2014  9:00:00 PM,Depth1,-0.0162,,
EBSW,10/04/2014  12:00:00 AM,Depth1,-0.0162,,
EBSW,10/04/2014  3:00:00 AM,Depth1,-0.0162,,
EBSW,10/04/2014  6:00:00 AM,Depth1,-0.0162,,
EBSW,10/04/2014  9:00:00 AM,Depth1,-0.0162,,
EBSW,10/03/2014  3:00:00 PM,Depth1,-0.0158,,
EBSW,10/04/2014  12:00:00 PM,Depth1,-0.0158,,
EBSW,10/04/2014  3:00:00 PM,Depth1,-0.0158,,
EBSW,10/03/2014  12:00:00 PM,Depth1,-0.0149,,
EBSW,10/02/2014  9:00:00 PM,Depth1,-0.0145,,
EBSW,10/03/2014  12:00:00 AM,Depth1,-0.0145,,
EBSW,10/03/2014  3:00:00 AM,Depth1,-0.0145,,
EBSW,10/03/2014  6:00:00 AM,Depth1,-0.0145,,
EBSW,10/02/2014  6:00:00 PM,Depth1,-0.0141,,
EBSW,10/03/2014  9:00:00 AM,Depth1,-0.0141,,
EBSW,10/02/2014  3:00:00 PM,Depth1,-0.0136,,
EBSW,09/29/14 03:00:00 PM,Depth1,-0.0128,,
EBSW,09/29/14 06:00:00 AM,Depth1,-0.0128,,
EBSW,09/29/14 06:00:00 PM,Depth1,-0.0128,,
EBSW,09/29/14 09:00:00 AM,Depth1,-0.0128,,
EBSW,09/29/14 09:00:00 PM,Depth1,-0.0128,,
EBSW,09/29/14 12:00:00 AM,Depth1,-0.0128,,
EBSW,09/29/14 12:00:00 PM,Depth1,-0.0128,,
EBSW,09/30/14 03:00:00 AM,Depth1,-0.0128,,
EBSW,09/30/14 03:00:00 PM,Depth1,-0.0128,,
EBSW,09/30/14 06:00:00 AM,Depth1,-0.0128,,
EBSW,09/30/14 06:00:00 PM,Depth1,-0.0128,,
EBSW,09/30/14 09:00:00 PM,Depth1,-0.0128,,
EBSW,09/30/14 12:00:00 AM,Depth1,-0.0128,,
EBSW,09/30/14 12:00:00 PM,Depth1,-0.0128,,
EBSW,10/01/2014  12:00:00 AM,Depth1,-0.0124,,
EBSW,10/01/2014  3:00:00 AM,Depth1,-0.0124,,
EBSW,10/01/2014  6:00:00 AM,Depth1,-0.0124,,
EBSW,10/01/2014  9:00:00 AM,Depth1,-0.0124,,
EBSW,10/01/2014  12:00:00 PM,Depth1,-0.0124,,
