Compartment,Datetime,Depth,Moisture_m3_m3,Temp_C,Remove
EBSW,09/29/15 03:00:00 PM,Depth1_10cm?,0.0827,,
EBSW,09/29/15 06:00:00 PM,Depth1_10cm?,0.0831,,
EBSW,09/29/15 09:00:00 PM,Depth1_10cm?,0.0831,,
EBSW,09/29/15 12:00:00 PM,Depth1_10cm?,0.0835,,
EBSW,09/11/2015  12:00:00 AM,Depth1_10cm?,0.0839,,
EBSW,09/11/2015  3:00:00 AM,Depth1_10cm?,0.0839,,
EBSW,09/28/15 06:00:00 PM,Depth1_10cm?,0.0839,,
EBSW,09/28/15 09:00:00 PM,Depth1_10cm?,0.0839,,
EBSW,09/29/15 03:00:00 AM,Depth1_10cm?,0.0839,,
EBSW,09/29/15 06:00:00 AM,Depth1_10cm?,0.0839,,
EBSW,09/29/15 09:00:00 AM,Depth1_10cm?,0.0839,,
EBSW,09/29/15 12:00:00 AM,Depth1_10cm?,0.0839,,
EBSW,09/10/2015  9:00:00 PM,Depth1_10cm?,0.0844,,
EBSW,09/28/15 03:00:00 PM,Depth1_10cm?,0.0844,,
EBSW,09/10/2015  3:00:00 PM,Depth1_10cm?,0.0848,,
EBSW,09/10/2015  6:00:00 PM,Depth1_10cm?,0.0848,,
EBSW,09/10/2015  12:00:00 PM,Depth1_10cm?,0.0852,,
EBSW,09/27/15 09:00:00 PM,Depth1_10cm?,0.0856,,
EBSW,09/28/15 03:00:00 AM,Depth1_10cm?,0.0856,,
EBSW,09/28/15 12:00:00 AM,Depth1_10cm?,0.0856,,
EBSW,09/28/15 12:00:00 PM,Depth1_10cm?,0.0856,,
EBSW,09/09/2015  6:00:00 PM,Depth1_10cm?,0.086,,
EBSW,09/09/2015  9:00:00 PM,Depth1_10cm?,0.086,,
EBSW,09/10/2015  12:00:00 AM,Depth1_10cm?,0.086,,
EBSW,09/10/2015  3:00:00 AM,Depth1_10cm?,0.086,,
EBSW,09/10/2015  9:00:00 AM,Depth1_10cm?,0.086,,
EBSW,09/27/15 06:00:00 PM,Depth1_10cm?,0.086,,
EBSW,09/28/15 06:00:00 AM,Depth1_10cm?,0.086,,
EBSW,09/28/15 09:00:00 AM,Depth1_10cm?,0.086,,
EBSW,09/10/2015  6:00:00 AM,Depth1_10cm?,0.0865,,
EBSW,09/27/15 03:00:00 PM,Depth1_10cm?,0.0865,,
EBSW,09/09/2015  3:00:00 PM,Depth1_10cm?,0.0869,,
EBSW,09/08/2015  9:00:00 PM,Depth1_10cm?,0.0877,,
EBSW,09/09/2015  12:00:00 AM,Depth1_10cm?,0.0877,,
EBSW,09/09/2015  3:00:00 AM,Depth1_10cm?,0.0877,,
EBSW,09/08/2015  6:00:00 PM,Depth1_10cm?,0.0882,,
EBSW,09/09/2015  12:00:00 PM,Depth1_10cm?,0.0882,,
EBSW,09/09/2015  6:00:00 AM,Depth1_10cm?,0.0882,,
EBSW,09/09/2015  9:00:00 AM,Depth1_10cm?,0.0882,,
EBSW,09/27/15 12:00:00 PM,Depth1_10cm?,0.0882,,
EBSW,09/27/15 06:00:00 AM,Depth1_10cm?,0.0886,,
EBSW,09/08/2015  3:00:00 PM,Depth1_10cm?,0.089,,
EBSW,09/27/15 09:00:00 AM,Depth1_10cm?,0.089,,
EBSW,09/27/15 03:00:00 AM,Depth1_10cm?,0.0894,,
EBSW,09/27/15 12:00:00 AM,Depth1_10cm?,0.0894,,
EBSW,09/11/2015  6:00:00 AM,Depth1_10cm?,0.0899,,
EBSW,09/26/15 09:00:00 PM,Depth1_10cm?,0.0899,,
EBSW,08/11/2015  12:00:00 PM,Depth1_10cm?,0.0903,,
EBSW,08/11/2015  3:00:00 PM,Depth1_10cm?,0.0903,,
EBSW,08/11/2015  6:00:00 PM,Depth1_10cm?,0.0903,,
EBSW,09/08/2015  12:00:00 PM,Depth1_10cm?,0.0903,,
EBSW,09/26/15 06:00:00 PM,Depth1_10cm?,0.0903,,
EBSW,09/08/2015  3:00:00 AM,Depth1_10cm?,0.0907,,
EBSW,09/08/2015  6:00:00 AM,Depth1_10cm?,0.0907,,
EBSW,09/07/2015  6:00:00 PM,Depth1_10cm?,0.0911,,
EBSW,09/07/2015  9:00:00 PM,Depth1_10cm?,0.0911,,
EBSW,09/08/2015  12:00:00 AM,Depth1_10cm?,0.0911,,
EBSW,09/08/2015  9:00:00 AM,Depth1_10cm?,0.0911,,
EBSW,09/26/15 03:00:00 PM,Depth1_10cm?,0.0911,,
EBSW,08/10/2015  6:00:00 PM,Depth1_10cm?,0.0916,,
EBSW,08/10/2015  9:00:00 PM,Depth1_10cm?,0.0916,,
EBSW,08/11/2015  12:00:00 AM,Depth1_10cm?,0.0916,,
EBSW,08/11/2015  3:00:00 AM,Depth1_10cm?,0.0916,,
EBSW,08/11/2015  6:00:00 AM,Depth1_10cm?,0.0916,,
EBSW,08/11/2015  9:00:00 AM,Depth1_10cm?,0.0916,,
EBSW,09/07/2015  3:00:00 PM,Depth1_10cm?,0.092,,
EBSW,08/10/2015  3:00:00 PM,Depth1_10cm?,0.0924,,
EBSW,08/11/2015  9:00:00 PM,Depth1_10cm?,0.0924,,
EBSW,09/26/15 12:00:00 PM,Depth1_10cm?,0.0924,,
EBSW,09/25/15 09:00:00 PM,Depth1_10cm?,0.0928,,
EBSW,09/26/15 03:00:00 AM,Depth1_10cm?,0.0928,,
EBSW,09/26/15 06:00:00 AM,Depth1_10cm?,0.0928,,
EBSW,09/26/15 09:00:00 AM,Depth1_10cm?,0.0928,,
EBSW,09/25/15 06:00:00 PM,Depth1_10cm?,0.0933,,
EBSW,09/26/15 12:00:00 AM,Depth1_10cm?,0.0933,,
EBSW,08/10/2015  12:00:00 PM,Depth1_10cm?,0.0937,,
EBSW,09/07/2015  12:00:00 PM,Depth1_10cm?,0.0937,,
EBSW,08/09/2015  6:00:00 PM,Depth1_10cm?,0.0941,,
EBSW,08/10/2015  3:00:00 AM,Depth1_10cm?,0.0941,,
EBSW,08/10/2015  6:00:00 AM,Depth1_10cm?,0.0941,,
EBSW,08/10/2015  9:00:00 AM,Depth1_10cm?,0.0941,,
EBSW,09/25/15 03:00:00 PM,Depth1_10cm?,0.0941,,
EBSW,09/25/15 12:00:00 PM,Depth1_10cm?,0.0941,,
EBSW,09/30/15 12:00:00 AM,Depth1_10cm?,0.0941,,
EBSW,08/09/2015  9:00:00 PM,Depth1_10cm?,0.0945,,
EBSW,08/10/2015  12:00:00 AM,Depth1_10cm?,0.0945,,
EBSW,09/24/15 09:00:00 PM,Depth1_10cm?,0.0945,,
EBSW,09/25/15 03:00:00 AM,Depth1_10cm?,0.0945,,
EBSW,09/25/15 06:00:00 AM,Depth1_10cm?,0.0945,,
EBSW,09/25/15 09:00:00 AM,Depth1_10cm?,0.0945,,
EBSW,09/25/15 12:00:00 AM,Depth1_10cm?,0.0945,,
EBSW,08/09/2015  3:00:00 PM,Depth1_10cm?,0.095,,
EBSW,09/07/2015  9:00:00 AM,Depth1_10cm?,0.095,,
EBSW,09/24/15 06:00:00 PM,Depth1_10cm?,0.095,,
EBSW,09/06/2015  6:00:00 PM,Depth1_10cm?,0.0954,,
EBSW,09/06/2015  9:00:00 PM,Depth1_10cm?,0.0954,,
EBSW,09/07/2015  12:00:00 AM,Depth1_10cm?,0.0954,,
EBSW,09/07/2015  3:00:00 AM,Depth1_10cm?,0.0954,,
EBSW,09/07/2015  6:00:00 AM,Depth1_10cm?,0.0954,,
EBSW,09/24/15 03:00:00 PM,Depth1_10cm?,0.0954,,
EBSW,08/09/2015  12:00:00 PM,Depth1_10cm?,0.0958,,
EBSW,08/09/2015  9:00:00 AM,Depth1_10cm?,0.0958,,
EBSW,08/08/2015  6:00:00 PM,Depth1_10cm?,0.0962,,
EBSW,08/08/2015  9:00:00 PM,Depth1_10cm?,0.0962,,
EBSW,08/09/2015  12:00:00 AM,Depth1_10cm?,0.0962,,
EBSW,08/09/2015  3:00:00 AM,Depth1_10cm?,0.0962,,
EBSW,08/09/2015  6:00:00 AM,Depth1_10cm?,0.0962,,
EBSW,09/06/2015  3:00:00 PM,Depth1_10cm?,0.0962,,
EBSW,09/24/15 12:00:00 PM,Depth1_10cm?,0.0962,,
EBSW,08/08/2015  3:00:00 PM,Depth1_10cm?,0.0971,,
EBSW,09/06/2015  12:00:00 PM,Depth1_10cm?,0.0975,,
EBSW,09/23/15 09:00:00 PM,Depth1_10cm?,0.0975,,
EBSW,09/24/15 03:00:00 AM,Depth1_10cm?,0.0975,,
EBSW,09/24/15 06:00:00 AM,Depth1_10cm?,0.0975,,
EBSW,09/24/15 09:00:00 AM,Depth1_10cm?,0.0975,,
EBSW,09/24/15 12:00:00 AM,Depth1_10cm?,0.0975,,
EBSW,09/23/15 06:00:00 PM,Depth1_10cm?,0.0979,,
EBSW,08/08/2015  12:00:00 PM,Depth1_10cm?,0.0983,,
EBSW,09/06/2015  9:00:00 AM,Depth1_10cm?,0.0988,,
EBSW,09/23/15 03:00:00 PM,Depth1_10cm?,0.0988,,
EBSW,08/08/2015  12:00:00 AM,Depth1_10cm?,0.0992,,
EBSW,08/08/2015  9:00:00 AM,Depth1_10cm?,0.0992,,
EBSW,09/05/2015  6:00:00 PM,Depth1_10cm?,0.0992,,
EBSW,09/05/2015  9:00:00 PM,Depth1_10cm?,0.0992,,
EBSW,09/06/2015  12:00:00 AM,Depth1_10cm?,0.0992,,
EBSW,09/06/2015  3:00:00 AM,Depth1_10cm?,0.0992,,
EBSW,08/07/2015  6:00:00 PM,Depth1_10cm?,0.0996,,
EBSW,08/07/2015  9:00:00 PM,Depth1_10cm?,0.0996,,
EBSW,08/08/2015  3:00:00 AM,Depth1_10cm?,0.0996,,
EBSW,08/08/2015  6:00:00 AM,Depth1_10cm?,0.0996,,
EBSW,09/06/2015  6:00:00 AM,Depth1_10cm?,0.0996,,
EBSW,09/05/2015  3:00:00 PM,Depth1_10cm?,0.1,,
EBSW,09/23/15 12:00:00 PM,Depth1_10cm?,0.1,,
EBSW,08/07/2015  3:00:00 PM,Depth1_10cm?,0.1005,,
EBSW,09/23/15 09:00:00 AM,Depth1_10cm?,0.1009,,
EBSW,08/07/2015  12:00:00 PM,Depth1_10cm?,0.1013,,
EBSW,09/22/15 09:00:00 PM,Depth1_10cm?,0.1013,,
EBSW,09/23/15 06:00:00 AM,Depth1_10cm?,0.1013,,
EBSW,09/23/15 12:00:00 AM,Depth1_10cm?,0.1013,,
EBSW,08/06/2015  6:00:00 PM,Depth1_10cm?,0.1017,,
EBSW,09/05/2015  12:00:00 PM,Depth1_10cm?,0.1017,,
EBSW,09/23/15 03:00:00 AM,Depth1_10cm?,0.1017,,
EBSW,08/05/2015  12:00:00 PM,Depth1_10cm?,0.1022,,
EBSW,08/06/2015  9:00:00 PM,Depth1_10cm?,0.1022,,
EBSW,08/07/2015  3:00:00 AM,Depth1_10cm?,0.1022,,
EBSW,08/07/2015  6:00:00 AM,Depth1_10cm?,0.1022,,
EBSW,08/07/2015  9:00:00 AM,Depth1_10cm?,0.1022,,
EBSW,09/22/15 03:00:00 PM,Depth1_10cm?,0.1022,,
EBSW,09/22/15 06:00:00 PM,Depth1_10cm?,0.1022,,
EBSW,08/05/2015  9:00:00 AM,Depth1_10cm?,0.1026,,
EBSW,08/06/2015  3:00:00 PM,Depth1_10cm?,0.1026,,
EBSW,08/07/2015  12:00:00 AM,Depth1_10cm?,0.1026,,
EBSW,09/22/15 12:00:00 PM,Depth1_10cm?,0.1026,,
EBSW,09/30/15 03:00:00 AM,Depth1_10cm?,0.1026,,
EBSW,08/04/2015  9:00:00 PM,Depth1_10cm?,0.103,,
EBSW,08/05/2015  12:00:00 AM,Depth1_10cm?,0.103,,
EBSW,08/05/2015  3:00:00 AM,Depth1_10cm?,0.103,,
EBSW,08/05/2015  6:00:00 AM,Depth1_10cm?,0.103,,
EBSW,09/05/2015  9:00:00 AM,Depth1_10cm?,0.103,,
EBSW,08/04/2015  6:00:00 PM,Depth1_10cm?,0.1034,,
EBSW,09/04/2015  9:00:00 PM,Depth1_10cm?,0.1034,,
EBSW,09/05/2015  12:00:00 AM,Depth1_10cm?,0.1034,,
EBSW,09/05/2015  3:00:00 AM,Depth1_10cm?,0.1034,,
EBSW,09/05/2015  6:00:00 AM,Depth1_10cm?,0.1034,,
EBSW,09/22/15 06:00:00 AM,Depth1_10cm?,0.1034,,
EBSW,09/22/15 09:00:00 AM,Depth1_10cm?,0.1034,,
EBSW,08/04/2015  3:00:00 PM,Depth1_10cm?,0.1039,,
EBSW,08/06/2015  12:00:00 PM,Depth1_10cm?,0.1039,,
EBSW,09/04/2015  6:00:00 PM,Depth1_10cm?,0.1039,,
EBSW,09/21/15 09:00:00 PM,Depth1_10cm?,0.1039,,
EBSW,09/22/15 03:00:00 AM,Depth1_10cm?,0.1039,,
EBSW,09/22/15 12:00:00 AM,Depth1_10cm?,0.1039,,
EBSW,08/06/2015  6:00:00 AM,Depth1_10cm?,0.1043,,
EBSW,09/21/15 06:00:00 PM,Depth1_10cm?,0.1043,,
EBSW,08/04/2015  12:00:00 PM,Depth1_10cm?,0.1047,,
EBSW,08/05/2015  3:00:00 PM,Depth1_10cm?,0.1047,,
EBSW,08/06/2015  3:00:00 AM,Depth1_10cm?,0.1047,,
EBSW,08/06/2015  9:00:00 AM,Depth1_10cm?,0.1047,,
EBSW,09/04/2015  3:00:00 PM,Depth1_10cm?,0.1047,,
EBSW,09/21/15 03:00:00 PM,Depth1_10cm?,0.1047,,
EBSW,08/03/2015  9:00:00 PM,Depth1_10cm?,0.1051,,
EBSW,08/04/2015  6:00:00 AM,Depth1_10cm?,0.1051,,
EBSW,08/04/2015  9:00:00 AM,Depth1_10cm?,0.1051,,
EBSW,08/06/2015  12:00:00 AM,Depth1_10cm?,0.1051,,
EBSW,08/03/2015  6:00:00 PM,Depth1_10cm?,0.1056,,
EBSW,08/04/2015  12:00:00 AM,Depth1_10cm?,0.1056,,
EBSW,08/04/2015  3:00:00 AM,Depth1_10cm?,0.1056,,
EBSW,09/04/2015  12:00:00 PM,Depth1_10cm?,0.1056,,
EBSW,08/05/2015  9:00:00 PM,Depth1_10cm?,0.106,,
EBSW,09/21/15 12:00:00 PM,Depth1_10cm?,0.106,,
EBSW,08/03/2015  3:00:00 PM,Depth1_10cm?,0.1064,,
EBSW,09/03/2015  6:00:00 PM,Depth1_10cm?,0.1064,,
EBSW,09/03/2015  9:00:00 PM,Depth1_10cm?,0.1064,,
EBSW,09/04/2015  12:00:00 AM,Depth1_10cm?,0.1064,,
EBSW,09/04/2015  3:00:00 AM,Depth1_10cm?,0.1064,,
EBSW,09/04/2015  6:00:00 AM,Depth1_10cm?,0.1064,,
EBSW,09/04/2015  9:00:00 AM,Depth1_10cm?,0.1064,,
EBSW,09/21/15 12:00:00 AM,Depth1_10cm?,0.1064,,
EBSW,07/19/15 06:00:00 PM,Depth1_10cm?,0.1068,,
EBSW,08/03/2015  12:00:00 PM,Depth1_10cm?,0.1068,,
EBSW,09/20/15 06:00:00 PM,Depth1_10cm?,0.1068,,
EBSW,09/20/15 09:00:00 PM,Depth1_10cm?,0.1068,,
EBSW,09/21/15 03:00:00 AM,Depth1_10cm?,0.1068,,
EBSW,09/21/15 09:00:00 AM,Depth1_10cm?,0.1068,,
EBSW,07/18/15 06:00:00 PM,Depth1_10cm?,0.1073,,
EBSW,07/19/15 03:00:00 PM,Depth1_10cm?,0.1073,,
EBSW,07/19/15 09:00:00 PM,Depth1_10cm?,0.1073,,
EBSW,07/19/15 12:00:00 PM,Depth1_10cm?,0.1073,,
EBSW,08/05/2015  6:00:00 PM,Depth1_10cm?,0.1073,,
EBSW,09/03/2015  3:00:00 PM,Depth1_10cm?,0.1073,,
EBSW,09/21/15 06:00:00 AM,Depth1_10cm?,0.1073,,
EBSW,07/18/15 03:00:00 PM,Depth1_10cm?,0.1077,,
EBSW,07/18/15 06:00:00 AM,Depth1_10cm?,0.1077,,
EBSW,07/18/15 09:00:00 AM,Depth1_10cm?,0.1077,,
EBSW,07/18/15 09:00:00 PM,Depth1_10cm?,0.1077,,
EBSW,07/18/15 12:00:00 PM,Depth1_10cm?,0.1077,,
EBSW,07/19/15 03:00:00 AM,Depth1_10cm?,0.1077,,
EBSW,07/19/15 06:00:00 AM,Depth1_10cm?,0.1077,,
EBSW,07/19/15 09:00:00 AM,Depth1_10cm?,0.1077,,
EBSW,07/19/15 12:00:00 AM,Depth1_10cm?,0.1077,,
EBSW,08/02/2015  6:00:00 PM,Depth1_10cm?,0.1077,,
EBSW,08/02/2015  9:00:00 PM,Depth1_10cm?,0.1077,,
EBSW,09/19/15 03:00:00 PM,Depth1_10cm?,0.1077,,
EBSW,09/19/15 06:00:00 PM,Depth1_10cm?,0.1077,,
EBSW,09/19/15 09:00:00 PM,Depth1_10cm?,0.1077,,
EBSW,09/20/15 03:00:00 AM,Depth1_10cm?,0.1077,,
EBSW,09/20/15 03:00:00 PM,Depth1_10cm?,0.1077,,
EBSW,09/20/15 06:00:00 AM,Depth1_10cm?,0.1077,,
EBSW,09/20/15 09:00:00 AM,Depth1_10cm?,0.1077,,
EBSW,09/20/15 12:00:00 AM,Depth1_10cm?,0.1077,,
EBSW,07/17/15 06:00:00 PM,Depth1_10cm?,0.1081,,
EBSW,07/17/15 09:00:00 PM,Depth1_10cm?,0.1081,,
EBSW,07/18/15 03:00:00 AM,Depth1_10cm?,0.1081,,
EBSW,07/18/15 12:00:00 AM,Depth1_10cm?,0.1081,,
EBSW,08/03/2015  12:00:00 AM,Depth1_10cm?,0.1081,,
EBSW,08/03/2015  3:00:00 AM,Depth1_10cm?,0.1081,,
EBSW,08/03/2015  6:00:00 AM,Depth1_10cm?,0.1081,,
EBSW,08/03/2015  9:00:00 AM,Depth1_10cm?,0.1081,,
EBSW,09/03/2015  12:00:00 PM,Depth1_10cm?,0.1085,,
EBSW,09/13/15 06:00:00 PM,Depth1_10cm?,0.1085,,
EBSW,09/13/15 09:00:00 PM,Depth1_10cm?,0.1085,,
