Compartment,Datetime,Depth,Temp_C,Moisture_m3_m3,Remove
EBHW,11/27/13 17:00:00.0,10cm,3.74,0.2939,
EBHW,09-02-2013  6:00:00 PM,10cm,15.23,0.28839,
EBHW,09-01-2013  3:00:00 AM,10cm,16,0.25318,
EBHW,09-03-2013  3:00:00 AM,10cm,14.85,0.25276,
EBHW,11/27/13 14:00:00.0,10cm,2.46,0.25191,
EBHW,08-09-2013  9:00:00 PM,10cm,15.62,0.25106,
EBHW,11/27/13 20:00:00.0,10cm,4.57,0.24512,
EBHW,09-02-2013  9:00:00 PM,10cm,15.23,0.24046,
EBHW,09-01-2013  6:00:00 AM,10cm,15.62,0.23918,
EBHW,11/27/13 11:00:00.0,10cm,2.46,0.23918,
EBHW,11/27/13 23:00:00.0,10cm,4.99,0.23621,
EBHW,09-03-2013  12:00:00 AM,10cm,15.23,0.23579,
EBHW,09-03-2013  6:00:00 AM,10cm,15.23,0.2324,
EBHW,07/26/13 15:00:00.0,10cm,15.62,0.2324,
EBHW,06-08-2013  9:00:00 AM,10cm,10.6,0.229,
EBHW,11/28/13 02:00:00.0,10cm,5.4,0.22815,
EBHW,09-01-2013  9:00,10cm,16,0.22476,
EBHW,09-03-2013  9:00,10cm,15.23,0.22391,
EBHW,09-02-2013  15:00,10cm,16.38,0.22349,
