Compartment,Datetime,Depth,Moisture_m3_m3,Temp_C,Remove
WBHW,01-01-2009  9:00:00 PM,10cm,0.15095,1.6,
WBHW,01-01-2009  9:00:00 PM,vertical,0.1764,,
WBHW,01-01-2010  12:00:00 AM,25cm,0.12804,,
WBHW,01-01-2010  12:00:00 AM,10cm,0.14671,2.03,
WBHW,01-01-2010  12:00:00 AM,vertical,0.17131,,
WBHW,01-01-2010  12:00:00 PM,25cm,0.12804,,
WBHW,01-01-2010  12:00:00 PM,10cm,0.14756,2.03,
WBHW,01-01-2010  12:00:00 PM,vertical,0.17131,,
WBHW,01-01-2010  3:00:00 AM,25cm,0.12804,,
WBHW,01-01-2010  3:00:00 AM,10cm,0.14756,2.03,
WBHW,01-01-2010  3:00:00 AM,vertical,0.17131,,
WBHW,01-01-2010  3:00:00 PM,25cm,0.12804,,
WBHW,01-01-2010  3:00:00 PM,10cm,0.14756,2.03,
WBHW,01-01-2010  3:00:00 PM,vertical,0.17131,,
WBHW,01-01-2010  6:00:00 AM,25cm,0.12804,,
WBHW,01-01-2010  6:00:00 AM,10cm,0.14756,2.03,
WBHW,01-01-2010  6:00:00 AM,vertical,0.17131,,
WBHW,01-01-2010  6:00:00 PM,25cm,0.12804,,
WBHW,01-01-2010  6:00:00 PM,10cm,0.14756,2.03,
WBHW,01-01-2010  6:00:00 PM,vertical,0.17131,,
WBHW,01-01-2010  9:00:00 AM,25cm,0.12762,,
WBHW,01-01-2010  9:00:00 AM,10cm,0.14756,2.03,
WBHW,01-01-2010  9:00:00 AM,vertical,0.17089,,
WBHW,01-01-2010  9:00:00 PM,25cm,0.12762,,
WBHW,01-01-2010  9:00:00 PM,10cm,0.14756,2.03,
WBHW,01-01-2010  9:00:00 PM,vertical,0.17131,,
WBHW,01-01-2011  12:00:00 AM,25cm,0.10938,,
WBHW,01-01-2011  12:00:00 AM,10cm,0.12974,2.46,
WBHW,01-01-2011  12:00:00 AM,vertical,0.1501,,
WBHW,01-01-2011  12:00:00 PM,25cm,0.10938,,
WBHW,01-01-2011  12:00:00 PM,10cm,0.12889,2.46,
WBHW,01-01-2011  12:00:00 PM,vertical,0.14968,,
WBHW,01-01-2011  3:00:00 AM,25cm,0.10938,,
WBHW,01-01-2011  3:00:00 AM,10cm,0.12889,2.46,
WBHW,01-01-2011  3:00:00 AM,vertical,0.14925,,
WBHW,01-01-2011  3:00:00 PM,25cm,0.10938,,
WBHW,01-01-2011  3:00:00 PM,10cm,0.12889,2.46,
WBHW,01-01-2011  3:00:00 PM,vertical,0.14925,,
WBHW,01-01-2011  6:00:00 AM,25cm,0.10938,,
WBHW,01-01-2011  6:00:00 AM,10cm,0.12932,2.46,
WBHW,01-01-2011  6:00:00 AM,vertical,0.1501,,
WBHW,01-01-2011  6:00:00 PM,25cm,0.10938,,
WBHW,01-01-2011  6:00:00 PM,10cm,0.12889,2.46,
WBHW,01-01-2011  6:00:00 PM,vertical,0.15095,,
WBHW,01-01-2011  9:00:00 AM,25cm,0.1098,,
WBHW,01-01-2011  9:00:00 AM,10cm,0.12889,2.46,
WBHW,01-01-2011  9:00:00 AM,vertical,0.1501,,
WBHW,01-01-2011  9:00:00 PM,25cm,0.10938,,
WBHW,01-01-2011  9:00:00 PM,10cm,0.12974,2.46,
WBHW,01-01-2011  9:00:00 PM,vertical,0.15222,,
WBHW,01-02-2006  12:00:00 AM,25cm,0.11659,,
WBHW,01-02-2006  12:00:00 AM,10cm,0.13907,0.73,
WBHW,01-02-2006  12:00:00 AM,vertical,0.17004,,
WBHW,01-02-2006  12:00:00 PM,25cm,0.11362,,
WBHW,01-02-2006  12:00:00 PM,10cm,0.13398,0.73,
WBHW,01-02-2006  12:00:00 PM,vertical,0.16495,,
WBHW,01-02-2006  3:00:00 AM,25cm,0.11617,,
WBHW,01-02-2006  3:00:00 AM,10cm,0.13822,0.73,
WBHW,01-02-2006  3:00:00 AM,vertical,0.16834,,
WBHW,01-02-2006  3:00:00 PM,25cm,0.1132,,
WBHW,01-02-2006  3:00:00 PM,10cm,0.13568,0.73,
WBHW,01-02-2006  3:00:00 PM,vertical,0.16665,,
WBHW,01-02-2006  6:00:00 AM,25cm,0.11574,,
WBHW,01-02-2006  6:00:00 AM,10cm,0.13738,0.73,
WBHW,01-02-2006  6:00:00 AM,vertical,0.16834,,
WBHW,01-02-2006  6:00:00 PM,25cm,0.11277,,
WBHW,01-02-2006  6:00:00 PM,10cm,0.13483,0.73,
WBHW,01-02-2006  6:00:00 PM,vertical,0.1658,,
WBHW,01-02-2006  9:00:00 AM,25cm,0.11405,,
WBHW,01-02-2006  9:00:00 AM,10cm,0.1361,0.73,
WBHW,01-02-2006  9:00:00 AM,vertical,0.16537,,
WBHW,01-02-2006  9:00:00 PM,25cm,0.11235,,
WBHW,01-02-2006  9:00:00 PM,10cm,0.13398,0.73,
WBHW,01-02-2006  9:00:00 PM,vertical,0.16495,,
WBHW,01-02-2007  12:00:00 AM,25cm,,,
WBHW,01-02-2007  12:00:00 AM,10cm,,,
WBHW,01-02-2007  12:00:00 PM,25cm,,,
WBHW,01-02-2007  12:00:00 PM,10cm,,,
WBHW,01-02-2007  3:00:00 AM,25cm,,,
WBHW,01-02-2007  3:00:00 AM,10cm,,,
WBHW,01-02-2007  3:00:00 PM,25cm,,,
WBHW,01-02-2007  3:00:00 PM,10cm,,,
WBHW,01-02-2007  6:00:00 AM,25cm,,,
WBHW,01-02-2007  6:00:00 AM,10cm,,,
WBHW,01-02-2007  6:00:00 PM,25cm,,,
WBHW,01-02-2007  6:00:00 PM,10cm,,,
WBHW,01-02-2007  9:00:00 AM,25cm,,,
WBHW,01-02-2007  9:00:00 AM,10cm,,,
WBHW,01-02-2007  9:00:00 PM,25cm,,,
WBHW,01-02-2007  9:00:00 PM,10cm,,,
WBHW,01-02-2008  12:00:00 AM,25cm,0.12847,,
WBHW,01-02-2008  12:00:00 AM,10cm,0.13907,2.03,
WBHW,01-02-2008  12:00:00 AM,vertical,0.16028,,
WBHW,01-02-2008  12:00:00 PM,25cm,0.12847,,
WBHW,01-02-2008  12:00:00 PM,10cm,0.13865,2.03,
WBHW,01-02-2008  12:00:00 PM,vertical,0.16028,,
WBHW,01-02-2008  3:00:00 AM,25cm,0.12847,,
WBHW,01-02-2008  3:00:00 AM,10cm,0.13907,2.03,
WBHW,01-02-2008  3:00:00 AM,vertical,0.16113,,
WBHW,01-02-2008  3:00:00 PM,25cm,0.12804,,
WBHW,01-02-2008  3:00:00 PM,10cm,0.13865,2.03,
WBHW,01-02-2008  3:00:00 PM,vertical,0.16028,,
WBHW,01-02-2008  6:00:00 AM,25cm,0.12847,,
WBHW,01-02-2008  6:00:00 AM,10cm,0.13907,2.03,
WBHW,01-02-2008  6:00:00 AM,vertical,0.16071,,
WBHW,01-02-2008  6:00:00 PM,25cm,0.12804,,
WBHW,01-02-2008  6:00:00 PM,10cm,0.13865,2.03,
WBHW,01-02-2008  6:00:00 PM,vertical,0.16028,,
WBHW,01-02-2008  9:00:00 AM,25cm,0.12847,,
WBHW,01-02-2008  9:00:00 AM,10cm,0.13907,2.03,
WBHW,01-02-2008  9:00:00 AM,vertical,0.16028,,
WBHW,01-02-2008  9:00:00 PM,25cm,0.12804,,
WBHW,01-02-2008  9:00:00 PM,10cm,0.13907,2.03,
WBHW,01-02-2008  9:00:00 PM,vertical,0.16028,,
WBHW,01-02-2009  12:00:00 AM,25cm,0.13271,,
WBHW,01-02-2009  12:00:00 AM,10cm,0.15095,1.6,
WBHW,01-02-2009  12:00:00 AM,vertical,0.1764,,
WBHW,01-02-2009  12:00:00 PM,25cm,0.13186,,
WBHW,01-02-2009  12:00:00 PM,10cm,0.14925,1.6,
WBHW,01-02-2009  12:00:00 PM,vertical,0.1747,,
WBHW,01-02-2009  3:00:00 AM,25cm,0.13229,,
WBHW,01-02-2009  3:00:00 AM,10cm,0.15095,1.6,
