Compartment,Datetime,Depth,Temp_C,Moisture_m3_m3,Remove
WBSW,01/01/2015  12:00:00 AM,10cm,1.6,0.1815,
WBSW,01/01/2015  12:00:00 PM,10cm,1.6,0.1789,
WBSW,01/01/2015  3:00:00 AM,10cm,1.6,0.1811,
WBSW,01/01/2015  3:00:00 PM,10cm,1.6,0.1785,
WBSW,01/01/2015  6:00:00 AM,10cm,1.6,0.1806,
WBSW,01/01/2015  6:00:00 PM,10cm,1.6,0.1785,
WBSW,01/01/2015  9:00:00 AM,10cm,1.6,0.1798,
WBSW,01/01/2015  9:00:00 PM,10cm,1.6,0.1768,
WBSW,01/01/2016  12:00:00 AM,10cm,2.89,0.2137,
WBSW,01/01/2016  12:00:00 PM,10cm,2.89,0.1891,
WBSW,01/01/2016  3:00:00 AM,10cm,2.89,0.215,
WBSW,01/01/2016  3:00:00 PM,10cm,2.89,0.1828,
WBSW,01/01/2016  6:00:00 AM,10cm,2.89,0.2078,
WBSW,01/01/2016  6:00:00 PM,10cm,2.89,0.1789,
WBSW,01/01/2016  9:00:00 AM,10cm,2.89,0.1955,
WBSW,01/01/2016  9:00:00 PM,10cm,2.89,0.1768,
WBSW,01/02/2015  12:00:00 AM,10cm,1.6,0.1768,
WBSW,01/02/2015  12:00:00 PM,10cm,1.17,0.1743,
WBSW,01/02/2015  3:00:00 AM,10cm,1.6,0.1764,
WBSW,01/02/2015  3:00:00 PM,10cm,1.17,0.1739,
WBSW,01/02/2015  6:00:00 AM,10cm,1.6,0.1756,
WBSW,01/02/2015  6:00:00 PM,10cm,1.17,0.1734,
WBSW,01/02/2015  9:00:00 AM,10cm,1.6,0.1743,
WBSW,01/02/2015  9:00:00 PM,10cm,1.17,0.173,
WBSW,01/02/2016  12:00:00 AM,10cm,2.89,0.1756,
WBSW,01/02/2016  12:00:00 PM,10cm,2.89,0.1734,
WBSW,01/02/2016  3:00:00 AM,10cm,2.89,0.1747,
WBSW,01/02/2016  3:00:00 PM,10cm,2.89,0.1726,
WBSW,01/02/2016  6:00:00 AM,10cm,2.89,0.1743,
WBSW,01/02/2016  6:00:00 PM,10cm,2.89,0.1717,
WBSW,01/02/2016  9:00:00 AM,10cm,2.89,0.1739,
WBSW,01/02/2016  9:00:00 PM,10cm,2.89,0.1713,
WBSW,01/03/2015  12:00:00 AM,10cm,1.17,0.1726,
WBSW,01/03/2015  12:00:00 PM,10cm,1.17,0.17,
WBSW,01/03/2015  3:00:00 AM,10cm,1.17,0.1722,
WBSW,01/03/2015  3:00:00 PM,10cm,1.17,0.17,
WBSW,01/03/2015  6:00:00 AM,10cm,1.17,0.1717,
WBSW,01/03/2015  6:00:00 PM,10cm,1.17,0.1696,
WBSW,01/03/2015  9:00:00 AM,10cm,1.17,0.1709,
WBSW,01/03/2015  9:00:00 PM,10cm,1.17,0.1692,
WBSW,01/03/2016  12:00:00 AM,10cm,2.89,0.1709,
WBSW,01/03/2016  12:00:00 PM,10cm,2.89,0.1683,
WBSW,01/03/2016  3:00:00 AM,10cm,2.89,0.1705,
WBSW,01/03/2016  3:00:00 PM,10cm,2.89,0.1675,
WBSW,01/03/2016  6:00:00 AM,10cm,2.89,0.1688,
WBSW,01/03/2016  6:00:00 PM,10cm,2.89,0.1666,
WBSW,01/03/2016  9:00:00 AM,10cm,2.89,0.1683,
