Compartment,Datetime,Depth,Temp_C,Moisture_m3_m3,Remove
EBHW,09-01-2014  12:00:00 AM,Unknown_10cm?,15.23,0.1374,
EBHW,09-01-2014  3:00:00 AM,Unknown_10cm?,15.23,0.1391,
EBHW,09-01-2014  6:00:00 AM,Unknown_10cm?,15.23,0.1399,
EBHW,09-01-2014  9:00:00 AM,Unknown_10cm?,15.23,0.1403,
EBHW,09-01-2014  12:00:00 PM,Unknown_10cm?,15.23,0.1399,
EBHW,09-01-2014  3:00:00 PM,Unknown_10cm?,15.62,0.1391,
EBHW,09-01-2014  6:00:00 PM,Unknown_10cm?,16,0.1471,
EBHW,09-01-2014  9:00:00 PM,Unknown_10cm?,16,0.1459,
EBHW,09-02-2014  12:00:00 AM,Unknown_10cm?,16,0.1459,
EBHW,09-02-2014  3:00:00 AM,Unknown_10cm?,16,0.145,
EBHW,09-02-2014  6:00:00 AM,Unknown_10cm?,16,0.1454,
EBHW,09-02-2014  9:00:00 AM,Unknown_10cm?,16,0.145,
EBHW,09-02-2014  12:00:00 PM,Unknown_10cm?,16,0.1446,
EBHW,09-02-2014  3:00:00 PM,Unknown_10cm?,16,0.1437,
EBHW,09-02-2014  6:00:00 PM,Unknown_10cm?,16,0.1437,
EBHW,09-02-2014  9:00:00 PM,Unknown_10cm?,16,0.1437,
EBHW,09-03-2014  12:00:00 AM,Unknown_10cm?,16,0.1437,
EBHW,09-03-2014  3:00:00 AM,Unknown_10cm?,16,0.1437,
EBHW,09-03-2014  6:00:00 AM,Unknown_10cm?,16,0.145,
EBHW,09-03-2014  9:00:00 AM,Unknown_10cm?,16,0.1463,
EBHW,09-03-2014  12:00:00 PM,Unknown_10cm?,16,0.1454,
EBHW,09-03-2014  3:00:00 PM,Unknown_10cm?,16,0.1446,
EBHW,09-03-2014  6:00:00 PM,Unknown_10cm?,16.38,0.1433,
EBHW,09-03-2014  9:00:00 PM,Unknown_10cm?,16.38,0.1429,
EBHW,09-04-2014  12:00:00 AM,Unknown_10cm?,16.38,0.1429,
EBHW,09-04-2014  3:00:00 AM,Unknown_10cm?,16.38,0.1429,
EBHW,09-04-2014  6:00:00 AM,Unknown_10cm?,16.38,0.1429,
EBHW,09-04-2014  9:00:00 AM,Unknown_10cm?,16,0.1425,
EBHW,09-04-2014  12:00:00 PM,Unknown_10cm?,16,0.1412,
EBHW,09-04-2014  3:00:00 PM,Unknown_10cm?,16,0.1403,
EBHW,09-04-2014  6:00:00 PM,Unknown_10cm?,16,0.1395,
EBHW,09-04-2014  9:00:00 PM,Unknown_10cm?,16.38,0.1395,
EBHW,09-05-2014  12:00:00 AM,Unknown_10cm?,16,0.1395,
EBHW,09-05-2014  3:00:00 AM,Unknown_10cm?,16,0.1391,
EBHW,09-05-2014  6:00:00 AM,Unknown_10cm?,16,0.1395,
EBHW,09-05-2014  9:00:00 AM,Unknown_10cm?,16,0.1391,
EBHW,09-05-2014  12:00:00 PM,Unknown_10cm?,16,0.1378,
EBHW,09-05-2014  3:00:00 PM,Unknown_10cm?,16,0.1365,
EBHW,09-05-2014  6:00:00 PM,Unknown_10cm?,16.38,0.1361,
EBHW,09-05-2014  9:00:00 PM,Unknown_10cm?,16.38,0.1361,
EBHW,09-06-2014  12:00:00 AM,Unknown_10cm?,16.38,0.1361,
EBHW,09-06-2014  3:00:00 AM,Unknown_10cm?,16.38,0.1361,
EBHW,09-06-2014  6:00:00 AM,Unknown_10cm?,16.38,0.1365,
EBHW,09-06-2014  9:00:00 AM,Unknown_10cm?,16.38,0.1365,
EBHW,09-06-2014  12:00:00 PM,Unknown_10cm?,16.38,0.1361,
EBHW,09-06-2014  3:00:00 PM,Unknown_10cm?,16.38,0.1353,
EBHW,09-06-2014  6:00:00 PM,Unknown_10cm?,16.76,0.1353,
EBHW,09-06-2014  9:00:00 PM,Unknown_10cm?,16.76,0.1552,
EBHW,09-07-2014  12:00:00 AM,Unknown_10cm?,16.76,0.1603,
EBHW,09-07-2014  3:00:00 AM,Unknown_10cm?,16.76,0.1569,
EBHW,09-07-2014  6:00:00 AM,Unknown_10cm?,16.38,0.1552,
EBHW,09-07-2014  9:00:00 AM,Unknown_10cm?,16.38,0.1531,
EBHW,09-07-2014  12:00:00 PM,Unknown_10cm?,16,0.151,
EBHW,09-07-2014  3:00:00 PM,Unknown_10cm?,16,0.1497,
EBHW,09-07-2014  6:00:00 PM,Unknown_10cm?,16,0.148,
EBHW,09-07-2014  9:00:00 PM,Unknown_10cm?,16,0.1476,
EBHW,09-08-2014  12:00:00 AM,Unknown_10cm?,15.62,0.1471,
EBHW,09-08-2014  3:00:00 AM,Unknown_10cm?,15.62,0.1467,
EBHW,09-08-2014  6:00:00 AM,Unknown_10cm?,15.62,0.1471,
EBHW,09-08-2014  9:00:00 AM,Unknown_10cm?,15.23,0.1463,
EBHW,09-08-2014  12:00:00 PM,Unknown_10cm?,15.23,0.1446,
EBHW,09-08-2014  3:00:00 PM,Unknown_10cm?,14.85,0.1437,
EBHW,09-08-2014  6:00:00 PM,Unknown_10cm?,15.23,0.1425,
EBHW,09-08-2014  9:00:00 PM,Unknown_10cm?,15.23,0.1429,
EBHW,09-09-2014  12:00:00 AM,Unknown_10cm?,14.85,0.1429,
EBHW,09-09-2014  3:00:00 AM,Unknown_10cm?,14.85,0.1425,
EBHW,09-09-2014  6:00:00 AM,Unknown_10cm?,14.85,0.1425,
EBHW,09-09-2014  9:00:00 AM,Unknown_10cm?,14.47,0.142,
EBHW,09-09-2014  12:00:00 PM,Unknown_10cm?,14.47,0.1408,
EBHW,09-09-2014  3:00:00 PM,Unknown_10cm?,14.47,0.1399,
EBHW,09-09-2014  6:00:00 PM,Unknown_10cm?,14.47,0.1395,
EBHW,09-09-2014  9:00:00 PM,Unknown_10cm?,14.47,0.1395,
EBHW,09-10-2014  12:00:00 AM,Unknown_10cm?,14.47,0.1395,
EBHW,09-10-2014  3:00:00 AM,Unknown_10cm?,14.47,0.1395,
EBHW,09-10-2014  6:00:00 AM,Unknown_10cm?,14.09,0.1399,
EBHW,09-10-2014  9:00:00 AM,Unknown_10cm?,14.09,0.1395,
EBHW,09-10-2014  12:00:00 PM,Unknown_10cm?,14.09,0.1386,
EBHW,09-10-2014  3:00:00 PM,Unknown_10cm?,14.09,0.1378,
EBHW,09-10-2014  6:00:00 PM,Unknown_10cm?,14.09,0.1374,
EBHW,09-10-2014  9:00:00 PM,Unknown_10cm?,14.47,0.1378,
EBHW,09-11-2014  12:00:00 AM,Unknown_10cm?,14.47,0.1378,
EBHW,09-11-2014  3:00:00 AM,Unknown_10cm?,14.47,0.1378,
EBHW,09-11-2014  6:00:00 AM,Unknown_10cm?,14.47,0.1382,
EBHW,09-11-2014  9:00:00 AM,Unknown_10cm?,14.09,0.1382,
EBHW,09-11-2014  12:00:00 PM,Unknown_10cm?,14.09,0.1382,
EBHW,09-11-2014  3:00:00 PM,Unknown_10cm?,14.09,0.1382,
EBHW,09-11-2014  6:00:00 PM,Unknown_10cm?,14.09,0.1467,
EBHW,09-11-2014  9:00:00 PM,Unknown_10cm?,14.09,0.148,
EBHW,09-12-2014  12:00:00 AM,Unknown_10cm?,14.09,0.148,
EBHW,09-12-2014  3:00:00 AM,Unknown_10cm?,14.09,0.148,
EBHW,09-12-2014  6:00:00 AM,Unknown_10cm?,14.09,0.148,
EBHW,09-12-2014  9:00:00 AM,Unknown_10cm?,14.09,0.1476,
EBHW,09-12-2014  12:00:00 PM,Unknown_10cm?,13.7,0.1463,
EBHW,09-12-2014  3:00:00 PM,Unknown_10cm?,13.7,0.1454,
EBHW,09-12-2014  6:00:00 PM,Unknown_10cm?,13.7,0.1446,
EBHW,09-12-2014  9:00:00 PM,Unknown_10cm?,13.7,0.1446,
EBHW,10-01-2014  12:00:00 AM,Unknown_10cm?,12.55,0.1327,
EBHW,10-01-2014  3:00:00 AM,Unknown_10cm?,12.55,0.1327,
