Compartment,Datetime,Depth,Temp_C,Moisture_m3_m3,Remove
WBSW,2-20-2013 6:00,10cm,-0.16,-0.28639,
WBSW,2-20-2013 9:00,10cm,-0.16,-0.2813,
WBSW,2-20-2013 15:00,10cm,-0.16,-0.24482,
WBSW,2-20-2013 12:00,10cm,-0.16,-0.24143,
WBSW,2-20-2013 18:00,10cm,-0.16,-0.20325,
WBSW,2-20-2013 21:00,10cm,-0.16,-0.20325,
WBSW,2-21-2013 0:00,10cm,-0.16,-0.18628,
WBSW,2-14-2013 3:00,10cm,-0.16,-0.08872,
WBSW,12-18-2012 21:00,10cm,2.03,-0.08617,
WBSW,2-13-2013 21:00,10cm,-0.16,-0.08363,
WBSW,2-15-2013 0:00,10cm,-0.16,-0.08363,
WBSW,2-14-2013 21:00,10cm,-0.16,-0.08193,
WBSW,2-14-2013 0:00,10cm,-0.16,-0.08151,
WBSW,2-14-2013 18:00,10cm,-0.16,-0.08108,
WBSW,01-12-2013  12:00:00 AM,10cm,1.6,-0.08024,
WBSW,2-13-2013 18:00,10cm,-0.16,-0.07981,
WBSW,2-17-2013 21:00,10cm,-0.16,-0.07981,
WBSW,2-14-2013 6:00,10cm,-0.16,-0.07727,
WBSW,2-14-2013 12:00,10cm,-0.16,-0.07727,
WBSW,2-14-2013 15:00,10cm,-0.16,-0.07684,
WBSW,2-14-2013 9:00,10cm,-0.16,-0.07515,
WBSW,2-15-2013 3:00,10cm,-0.16,-0.07387,
WBSW,2-17-2013 18:00,10cm,-0.16,-0.0726,
WBSW,02-08-2013  6:00:00 AM,10cm,0.29,-0.06709,
WBSW,12-18-2012 0:00,10cm,2.03,-0.06666,
WBSW,12-18-2012 15:00,10cm,2.03,-0.06624,
WBSW,12-18-2012 12:00,10cm,2.03,-0.06581,
WBSW,01-11-2013  6:00:00 PM,10cm,1.6,-0.06496,
WBSW,12-17-2012 3:00,10cm,2.46,-0.06412,
WBSW,2-13-2013 15:00,10cm,-0.16,-0.062,
WBSW,2-13-2013 12:00,10cm,-0.16,-0.05903,
