Compartment,Datetime,Depth,Moisture_m3_m3,Temp_C,Remove
EBSW,03/08/2015  3:00:00 AM,Depth1_10cm?,0.123,,
EBSW,03/09/2015  12:00:00 PM,Depth1_10cm?,0.123,,
EBSW,03/10/2015  3:00:00 PM,Depth1_10cm?,0.123,,
EBSW,02/28/15 06:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/01/2015  12:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/01/2015  12:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/01/2015  3:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/01/2015  6:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/01/2015  9:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/01/2015  9:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/02/2015  6:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/03/2015  12:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/04/2015  3:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/04/2015  9:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/04/2015  9:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/05/2015  12:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/05/2015  12:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/05/2015  3:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/05/2015  3:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/05/2015  6:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/05/2015  6:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/05/2015  9:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/05/2015  9:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/06/2015  12:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/06/2015  12:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/06/2015  3:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/06/2015  3:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/06/2015  6:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/06/2015  9:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/07/2015  12:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/07/2015  12:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/07/2015  3:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/07/2015  6:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/07/2015  6:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/07/2015  9:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/08/2015  12:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/08/2015  12:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/08/2015  3:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/08/2015  6:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/08/2015  6:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/08/2015  9:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/08/2015  9:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/09/2015  12:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/09/2015  3:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/09/2015  6:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/09/2015  6:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/09/2015  9:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/09/2015  9:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/10/2015  12:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/10/2015  12:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/10/2015  3:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/10/2015  6:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/10/2015  6:00:00 PM,Depth1_10cm?,0.1234,,
EBSW,03/10/2015  9:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/11/2015  12:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,03/11/2015  3:00:00 AM,Depth1_10cm?,0.1234,,
EBSW,02/22/15 09:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,02/26/15 03:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,02/27/15 03:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,02/27/15 06:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,02/27/15 06:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,02/27/15 09:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,02/27/15 12:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,02/28/15 03:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,02/28/15 06:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,02/28/15 09:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,02/28/15 09:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,02/28/15 12:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,02/28/15 12:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/01/2015  3:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/01/2015  6:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/02/2015  12:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/02/2015  12:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/02/2015  3:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/02/2015  6:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/02/2015  9:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/02/2015  9:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/03/2015  12:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/03/2015  3:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/03/2015  3:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/03/2015  6:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/03/2015  6:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/03/2015  9:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/03/2015  9:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/04/2015  12:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/04/2015  12:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/04/2015  3:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/04/2015  6:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/04/2015  6:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/06/2015  6:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/06/2015  9:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/07/2015  3:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/07/2015  9:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/09/2015  3:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,03/10/2015  9:00:00 PM,Depth1_10cm?,0.1238,,
EBSW,03/11/2015  6:00:00 AM,Depth1_10cm?,0.1238,,
EBSW,02/21/15 03:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/21/15 06:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/21/15 09:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/22/15 03:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/22/15 03:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/22/15 06:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/22/15 09:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/22/15 12:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/22/15 12:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/23/15 03:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/23/15 03:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/23/15 06:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/23/15 06:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/23/15 09:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/23/15 09:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/23/15 12:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/24/15 03:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/24/15 03:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/24/15 06:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/24/15 06:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/24/15 09:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/24/15 12:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/24/15 12:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/25/15 03:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/25/15 03:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/25/15 06:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/25/15 06:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/25/15 09:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/25/15 09:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/25/15 12:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/25/15 12:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/26/15 03:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/26/15 06:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/26/15 06:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/26/15 09:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/26/15 09:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/26/15 12:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/26/15 12:00:00 PM,Depth1_10cm?,0.1242,,
EBSW,02/27/15 03:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/27/15 09:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/27/15 12:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/28/15 03:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,03/02/2015  3:00:00 AM,Depth1_10cm?,0.1242,,
EBSW,02/20/15 06:00:00 PM,Depth1_10cm?,0.1246,,
EBSW,02/20/15 09:00:00 PM,Depth1_10cm?,0.1246,,
